			2009	2010	2011	2012	2013	2014	2015
Gennaio		75		63		65		50		77		66		69
Febbraio	64		65		65		67		50		54		58
Marzo		81		77		73		80		83		89		100
Aprile		89		90		85		90		90		84		90
Maggio		120		129		113		120		135		117		130
Giugno		113		99		116		114		111		119		100
Luglio		111		105		98		112		113		102		100
Agosto		129		131		120		111		141		130		126
Settembre	90		85		101		88		89		94		91
Ottobre		109		122		103		119		98		101		107
Novembre	111		121		101		104		121		115		104
Dicembre	56		67		44		58		61		64		58
