area_id,area_names,state,registered.voters,total_votes,invalid_first_votes,invalid_second_votes,valid_first_votes,valid_second_votes
1,Flensburg – Schleswig,Schleswig-Holstein,225659,171905,1647,1509,170258,170396
2,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,186384,139200,1299,1125,137901,138075
3,Steinburg – Dithmarschen Süd,Schleswig-Holstein,175950,132016,1133,1141,130883,130875
4,Rendsburg-Eckernförde,Schleswig-Holstein,199632,157387,1285,1119,156102,156268
5,Kiel,Schleswig-Holstein,204650,151463,1657,1290,149806,150173
6,Plön – Neumünster,Schleswig-Holstein,174934,131710,1221,1196,130489,130514
7,Pinneberg,Schleswig-Holstein,237474,187711,1616,1339,186095,186372
8,Segeberg – Stormarn-Mitte,Schleswig-Holstein,245826,193318,1628,1381,191690,191937
9,Ostholstein – Stormarn-Nord,Schleswig-Holstein,181480,138415,1151,1142,137264,137273
10,Herzogtum Lauenburg – Stormarn-Süd,Schleswig-Holstein,244503,193359,1597,1388,191762,191971
11,Lübeck,Schleswig-Holstein,181637,130976,2217,1171,128759,129805
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Mecklenburg-Vorpommern,216743,157070,1967,1658,155103,155412
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Mecklenburg-Vorpommern,205757,146781,1945,1673,144836,145108
14,Rostock – Landkreis Rostock II,Mecklenburg-Vorpommern,222718,164037,1799,1731,162238,162306
15,Vorpommern-Rügen – Vorpommern-Greifswald I,Mecklenburg-Vorpommern,240887,169526,1866,2115,167660,167411
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Mecklenburg-Vorpommern,225843,156966,2335,2159,154631,154807
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Mecklenburg-Vorpommern,212051,144268,1859,1791,142409,142477
18,Hamburg-Mitte,Hamburg,243510,175800,2139,1460,173661,174340
19,Hamburg-Altona,Hamburg,185942,146025,1200,949,144825,145076
20,Hamburg-Eimsbüttel,Hamburg,192399,156001,1315,860,154686,155141
21,Hamburg-Nord,Hamburg,217226,178302,1398,899,176904,177403
22,Hamburg-Wandsbek,Hamburg,235513,172545,1824,1389,170721,171156
23,Hamburg-Bergedorf – Harburg,Hamburg,222034,155709,2003,1555,153706,154154
24,Aurich – Emden,Niedersachsen,191560,142670,3199,1633,139471,141037
25,Unterems,Niedersachsen,235233,176342,1555,1389,174787,174953
26,Friesland – Wilhelmshaven – Wittmund,Niedersachsen,189344,139150,1812,1565,137338,137585
27,Oldenburg – Ammerland,Niedersachsen,226253,175971,1812,1303,174159,174668
28,Delmenhorst – Wesermarsch – Oldenburg-Land,Niedersachsen,227695,170211,1983,1393,168228,168818
29,Cuxhaven – Stade II,Niedersachsen,187679,141748,1458,1032,140290,140716
30,Stade I – Rotenburg II,Niedersachsen,197298,152485,1191,846,151294,151639
31,Mittelems,Niedersachsen,230151,179790,1185,963,178605,178827
32,Cloppenburg – Vechta,Niedersachsen,220042,163671,1553,1152,162118,162519
33,Diepholz – Nienburg I,Niedersachsen,193959,148297,1484,1024,146813,147273
34,Osterholz – Verden,Niedersachsen,196136,153028,1268,1238,151760,151790
35,Rotenburg I – Heidekreis,Niedersachsen,168081,127071,984,974,126087,126097
36,Harburg,Niedersachsen,199081,161838,1326,980,160512,160858
37,Lüchow-Dannenberg – Lüneburg,Niedersachsen,180866,141000,1383,862,139617,140138
38,Osnabrück-Land,Niedersachsen,199131,151301,1226,1109,150075,150192
39,Stadt Osnabrück,Niedersachsen,196475,151988,2701,982,149287,151006
40,Nienburg II – Schaumburg,Niedersachsen,194800,146673,1203,1027,145470,145646
