id,genres,original_title,popularity,tagline,original_language,production_countries
0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",Toy Story,21.946943,,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
1,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",Jumanji,17.015539,Roll the dice and unleash the excitement!,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
2,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",Grumpier Old Men,11.7129,Still Yelling. Still Fighting. Still Ready for Love.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
3,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Waiting to Exhale,3.859495,Friends are the people who let you be yourself... and never let you forget it.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
4,"[{'id': 35, 'name': 'Comedy'}]",Father of the Bride Part II,8.387519000000001,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
5,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Heat,17.924927,A Los Angeles Crime Saga,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
6,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Sabrina,6.677277,You are cordially invited to the most surprising merger of the year.,en,"[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
7,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",Tom and Huck,2.5611610000000002,The Original Bad Boys.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
8,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",Sudden Death,5.23158,Terror goes into overtime.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
9,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",GoldenEye,14.686035999999998,No limits. No fears. No substitutes.,en,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
10,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",The American President,6.318445,Why can't the most powerful man in the world have the one thing he wants most?,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
11,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",Dracula: Dead and Loving It,5.430331,,en,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
12,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",Balto,12.140733,Part Dog. Part Wolf. All Hero.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
13,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",Nixon,5.092,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
14,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",Cutthroat Island,7.284477000000001,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,en,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
15,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",Casino,10.137389,No one stays at the top forever.,en,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
16,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Sense and Sensibility,10.673167,Lose your heart and come to your senses.,en,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
17,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",Four Rooms,9.026586,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
18,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",Ace Ventura: When Nature Calls,8.205447999999999,New animals. New adventures. Same hair.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
19,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",Money Train,7.337905999999999,"Get on, or GET OUT THE WAY!",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
20,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",Get Shorty,12.669608,"The mob is tough, but it’s nothing like show business.",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
21,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Copycat,10.701801,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
22,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",Assassins,11.065939,"In the shadows of life, In the business of death, One man found a reason to live...",en,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
23,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",Powder,12.133094,An extraordinary encounter with another human being.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
24,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Leaving Las Vegas,10.332025,I Love You... The Way You Are.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
25,"[{'id': 18, 'name': 'Drama'}]",Othello,1.8458990000000002,"Envy, greed, jealousy and love.",en,"[{'iso_3166_1': 'IT', 'name': 'Italy'}]"
26,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",Now and Then,8.681325,In every woman there is the girl she left behind.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
27,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Persuasion,2.228434,,en,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'FR', 'name': 'France'}]"
28,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",La Cité des Enfants Perdus,9.822422999999999,Where happily ever after is just a dream.,fr,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]"
29,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",摇啊摇，摇到外婆桥,1.1009149999999999,In 1930's Shanghai violence was not the problem. It was the solution.,zh,"[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'FR', 'name': 'France'}]"
30,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",Dangerous Minds,9.481338000000001,She broke the rules... and changed their lives.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
31,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",Twelve Monkeys,12.297305,The future is history.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
32,"[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]","Guillaumet, les ailes du courage",0.745542,,fr,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
33,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",Babe,14.404764000000002,A little pig goes a long way.,en,"[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
34,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Carrington,1.4933610000000002,A Love so Unusual it has to be True,en,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]"
35,"[{'id': 18, 'name': 'Drama'}]",Dead Man Walking,6.891317,,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]"
36,"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",Across the Sea of Time,0.114469,,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
37,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",It Takes Two,7.777735000000001,Two identical strangers. Two different worlds. One perfect match.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
38,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Clueless,9.882383,Sex. Clothes. Popularity. Is there a problem here?,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
39,"[{'id': 18, 'name': 'Drama'}]","Cry, the Beloved Country",0.894647,,en,"[{'iso_3166_1': 'ZA', 'name': 'South Africa'}]"
40,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",Richard III,4.561387,"I can smile, and murder while I smile",en,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
41,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",Dead Presidents,9.87957,"In this daring heist, the only color that counts is green",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
42,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Restoration,10.979269,,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
43,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",Mortal Kombat,10.870138,Nothing In This World Has Prepared You For This.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
